nominee,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Love Theme From A Star Is Born (Evergreen),0.9473,0.3799,0.0449,0.3191,0.1158,-23.6681,0.0442,106.2339,0.1973
This Masquerade,0.9722,0.3342,0.0638,0.6342,0.1105,-24.2116,0.0473,103.7187,0.2072
I Write The Songs,0.9186,0.4452,0.1192,0.0337,0.1148,-15.8303,0.0361,116.8755,0.2387
Love Will Keep Us Together,0.3164,0.6822,0.4519,0.002,0.1195,-12.3674,0.039,100.6894,0.671
Send In The Clowns,0.8455,0.2147,0.0292,0.8318,0.1094,-26.1625,0.04,102.6204,0.0636
I Honestly Love You,0.8472,0.2646,0.0623,0.82,0.1161,-24.4891,0.0456,98.4768,0.1244
Mrs. Robinson,0.6687,0.5705,0.4078,0.6834,0.1287,-15.6723,0.0534,122.6672,0.6736
Little Green Apples,0.8202,0.494,0.1257,0.012,0.1505,-19.0849,0.2031,79.2224,0.3405
"Up, Up And Away",0.8358,0.6615,0.4972,0.0114,0.1445,-10.8521,0.0511,120.036,0.7442
"Up, Up And Away",0.8358,0.6615,0.4972,0.0114,0.1445,-10.8521,0.0511,120.036,0.7442
Strangers In The Night,0.8356,0.3998,0.2697,0.0088,0.1461,-11.8542,0.0342,91.0703,0.2884
Michelle,0.6054,0.7194,0.2309,0.0181,0.105,-12.4197,0.0375,110.1264,0.3713
A Taste Of Honey,0.8161,0.5136,0.24,0.0008,0.1307,-12.6269,0.0332,103.3032,0.344
"The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")",0.912,0.3417,0.1077,0.0346,0.138,-18.6171,0.0474,99.8059,0.1963
The Girl From Ipanema,0.913,0.7099,0.2631,0.0183,0.117,-13.1168,0.0473,125.5871,0.5576
"Hello, Dolly!",0.9285,0.6414,0.2109,0.0048,0.2552,-16.0426,0.3602,97.9256,0.5854
